"","X.1","X","cycle","election","bonica.rid","Cand.ID","Name","Party","State","seat","District","cfscore","male.winner","female.margin","female.pctile","prev.elect","democrat","total.votes","professional","pct.female.chamber","gop.gov","house","state.pres.dem","num.cands","won.again","pct.dem.last","female.cand.last","total.dist.last","female.inc","total.raised.candidate","log.total.raised.candidate","individual.money","log.individual.money","pac.money","log.pac.money","party.money","log.party.money","male.money","log.male.money","female.money","log.female.money","share.district.total","district.total","log.district.total","log.total.dist.last"
"1",1,47208,1994,"AK1994","cand4057","AK20772","WILLIAMS, WILLIAM K",100,"AK","state:lower","AK-1",0.0995454036027861,1,35.9520640235626,36,NA,0,5.546,0.232,0.238095238,0,1,0.3029,3,1,50.1411743164062,0,57835,0,71947,11.1836850158243,32600,10.392098241731,38235,10.5515327591837,0,0,14352,9.57171425857138,6650,8.80252249828442,0.7189523543049,100072,11.5136452058946,10.9653494077295
"2",2,49312,1996,"AK1996","cand4057","AK20772","WILLIAMS, WILLIAM K",100,"AK","state:lower","AK-1",0.0995454036027861,1,48.2851257324219,48.3,1,0,6.327,0.232,0.257731959,0,1,0.3327,2,1,43.3645858764648,1,83376,0,10784,9.28581883315209,5040,8.52535975408263,3575,8.18200013629341,0,0,2740,7.91607809630279,1000,6.90875477931522,1,10784,9.28581883315209,11.331115777149
"3",3,45533,1992,"AK1992","cand4046","AK20063","TOOHEY, CYNTHIA D",200,"AK","state:lower","AK-13",0.207997929453222,0,50.8615837097168,50.9,0,1,7.08,0.232,0.24,0,1,0.3029,2,1,NA,NA,NA,0,69247,11.1454351018116,13577,9.51620611486159,22300,10.0123867994921,8500,9.04793908261736,12076.7,9.39911605600994,1200,7.09090982207998,0.66992695786775,103365,11.5460216924594,NA
"4",4,45494,1992,"AK1992","cand3996","AK16697","MARTIN, TERRENCE H (TERRY)",200,"AK","state:lower","AK-14",0.33417288597575,1,40.9796409606934,41,NA,1,4.961,0.232,0.24,0,1,0.3029,2,1,NA,NA,NA,0,58170,10.9711250369048,11185,9.32241827538153,24640,10.1121670012395,11150,9.31928445896536,10251.19,9.2352466202814,1110,7.01301578963963,0.327496903501858,177620,12.0874017158125,NA
"5",5,123585,2008,"AK2008","cand4149","AK9142","KELLER, WES",200,"AK","state:lower","AK-14",0.681959896155961,1,21.9301132570288,21.9,NA,1,9.129,0.232,0.256097561,1,1,0.3789,2,1,38.7986068725586,1,122721,0,14674,9.59383249927394,12100,9.40104337279805,2059,7.63046126178363,0,0,8343.76,9.029389075946,3735,8.22577079934873,1,14674,9.59383249927394,11.7176687651989
"6",6,102507,2006,"AK2006","cand4102","AK4143","STOLTZE, BILL",200,"AK","state:lower","AK-16",0.25786915753849,1,28.5714277539935,28.6,NA,1,7.497,0.232,0.194805195,1,1,0.3552,2,1,28.3188953399658,0,72465,0,36464,10.5040807514855,25764,10.1567722607623,10500,9.25922576970599,0,0,20769.26,9.9412774348467,5045,8.526351129201,0.835965978128797,43619,10.6832481142292,11.1908589656566
"7",7,123590,2008,"AK2008","cand4102","AK4143","STOLTZE, BILL",200,"AK","state:lower","AK-16",0.25786915753849,1,24.5327591806938,24.5,NA,1,9.738,0.232,0.256097561,1,1,0.3789,2,1,28.5714282989502,1,65209,0,63911,11.0652467695255,47011,10.7581581672527,16500,9.7111762641128,0,0,37690.5,10.5371898838242,9320,9.14002519806116,0.976127928643431,65474,11.0894083962543,11.0853527751984
"8",8,45423,1992,"AK1992","cand4065","AK2242","BUNDE, CONLEY",200,"AK","state:lower","AK-18",0.347078522417396,1,41.6814951977931,41.7,NA,1,7.606,0.232,0.24,0,1,0.3029,3,1,0,0,6395,1,63531,11.0592832547317,11478,9.3482745580655,36923,10.51661702511,4000,8.29429960885724,8703.15,9.07155520240311,2175,7.68524360797583,0.765978225485586,82941,11.3258847906363,8.76327171401294
"9",9,47100,1994,"AK1994","cand4065","AK2242","BUNDE, CONLEY",200,"AK","state:lower","AK-18",0.347078522417396,1,34.8901901245117,34.9,NA,1,6.83,0.232,0.238095238,0,1,0.3029,2,1,36.9576644897461,1,93257,0,24522,10.1073259527923,5009,8.51919119407891,19543,9.88042361293758,500,6.21660610108486,668.56,6.50662078023442,850,6.74641212857337,1,24522,10.1073259527923,11.4431144017128
"10",10,55252,1998,"AK1998","cand4065","AK2242","BUNDE, CON",200,"AK","state:lower","AK-18",0.347078522417396,1,37.6054649353027,37.6,NA,1,7.467,0.232,0.328947368,0,1,0.3327,2,1,0,0,24522,0,72239,11.1877353452487,38102,10.5480482981724,7257,8.88985958777302,10000,9.21044036697652,40661,10.6130492743642,7486.87,8.92103965689561,0.482365117521368,149760,11.9167892917114,10.1073259527923
"11",11,102508,2006,"AK2006","cand4142","AK8692","ROSES, BOB",200,"AK","state:lower","AK-19",0.436885201009548,1,44.3681030273438,44.4,NA,1,4.803,0.232,0.194805195,1,1,0.3552,2,0,44.0506324768066,1,194293,0,54911,10.9134689717261,26110,10.1701119604619,18800,9.84166533889278,9050,9.11063052782717,22646.96,10.0278250606298,4014,8.29779262638086,0.49435966689174,111075,11.6179609278041,12.1771226079538
"12",12,77088,2002,"AK2002","cand4101","AK4142","WILSON, PEGGY",200,"AK","state:lower","AK-2",0.399108005993517,0,59.0787267710394,59.1,NA,1,5.98,0.232,0.180722892,0,1,0.2767,2,1,48.2718734741211,1,73856,0,58463,10.9761493544885,38963,10.5703934218908,12220,9.410911062438,7000,8.8538082749772,26965,10.202332092194,12097.99,9.40087725702655,0.880135491155438,66425,11.103828770628,11.2098725304277
"13",13,102558,2006,"AK2006","cand4101","AK4142","WILSON, PEGGY",200,"AK","state:lower","AK-2",0.399108005993517,0,56.5954322814941,56.6,NA,1,5.428,0.232,0.194805195,1,1,0.3552,2,1,33.6929359436035,1,66425,1,38080,10.5474444889053,19380,9.87204848370075,8650,9.06543020018037,9500,9.15915233520675,13385,9.50196466366059,6445,8.77121506237538,0.409726705401334,92940,11.439709402639,11.103828770628
"14",14,47187,1994,"AK1994","cand4016","AK18210","PORTER, BRIAN S",200,"AK","state:lower","AK-20",0.22410836898534,1,42.8241195678711,42.8,NA,1,5.191,0.232,0.238095238,0,1,0.3029,2,1,45.7240600585938,0,70483,1,37369,10.5285967626888,5194,8.55545190353333,27050,10.205479252168,2500,7.82444593087762,4705.05,8.45660419396525,1300,7.1708884785125,0.658751564510727,56727,10.9460055668493,11.1631268249709
"15",15,49279,1996,"AK1996","cand4016","AK18210","PORTER, BRIAN S",200,"AK","state:lower","AK-20",0.22410836898534,1,34.744499206543,34.7,NA,1,5.362,0.232,0.257731959,0,1,0.3327,2,1,42.8241195678711,1,91515,0,9300,9.13776967914135,5500,8.61268517287546,3250,8.08671792030391,0,0,2950,7.98989937494294,2550,7.84424071814181,1,9300,9.13776967914135,11.4242581722541
"16",16,45434,1992,"AK1992","cand4066","AK2244","DAVIS, BETTYE J",100,"AK","state:lower","AK-21",-0.882927811989276,0,61.4708518981934,61.5,NA,0,5.575,0.232,0.24,0,1,0.3029,2,1,60.1643104553223,1,83114,1,44833,10.710699754384,4700,8.45553053102413,20700,9.93793728726535,0,0,4450,8.40088406901585,3671,8.20849175174038,0.739830690275417,60599,11.0120336702711,11.3279684383746
"17",17,55253,1998,"AK1998","cand4088","AK3183","CISSNA, SHARON",100,"AK","state:lower","AK-21",-0.939283988293288,0,52.9812240600586,53,NA,0,4.847,0.232,0.328947368,0,1,0.3327,2,1,0,0,57901,0,82542,11.321062533689,37097,10.5213183387866,17050,9.74396413201815,6500,8.77971129020447,22478.44,10.0203563926653,14647.86,9.59211779571776,0.576076715311656,143283,11.8725769745388,10.9664899345691
"18",18,45393,1992,"AK1992","cand3351","AK11456","BARNES, RAMONA L",200,"AK","state:lower","AK-22",0.00662087891158236,0,67.3104095458984,67.3,NA,1,6.369,0.232,0.24,0,1,0.3029,2,1,100,1,54088,1,180646,12.1042945940666,60284,11.0068385955514,94673,11.4581946902637,3950,8.28172399041139,43534,10.6813204912627,14400,9.57505292759738,0.935703593202078,193059,12.1707511206523,10.8983676287705
"19",19,47095,1994,"AK1994","cand3351","AK11456","BARNES, RAMONA L",200,"AK","state:lower","AK-22",0.00662087891158236,0,57.1592878843515,57.2,NA,1,5.719,0.232,0.238095238,0,1,0.3029,3,1,32.6895904541016,1,165578,1,144039,11.8778393752227,50875,10.8371465785714,62967,11.0503819398223,838,6.73221070646721,43675,10.684554031134,20200,9.91348738711446,1,144039,11.8778393752227,12.0171976618664
"20",20,55251,1998,"AK1998","cand3351","AK11456","BARNES, RAMONA",200,"AK","state:lower","AK-22",0.00662087891158236,0,50.5538444519043,50.6,0,1,6.5,0.232,0.328947368,0,1,0.3327,2,0,0,1,144039,1,138760,11.8405011010837,80279,11.2932758029103,18875,9.84564655284628,19000,9.85224688834253,59891.76,11.0003109086849,35886.76,10.4881515692655,0.54129753810265,256347,12.4542872743932,11.8778393752227
"21",21,76984,2002,"AK2002","cand4088","AK3183","CISSNA, SHARON M",100,"AK","state:lower","AK-22",-0.939283988293288,0,54.3137715460307,54.3,NA,0,4.287,0.232,0.180722892,0,1,0.2767,2,1,54.968505859375,1,256347,0,31170,10.3472113727614,19771,9.89202207442685,11248,9.32803451479283,100,4.61512051684126,11455,9.34626888920043,8266.13,9.02004269030141,0.492845284212191,63245,11.0547713520816,12.4542872743932
"22",22,89818,2004,"AK2004","cand4088","AK3183","CISSNA, SHARON M",100,"AK","state:lower","AK-22",-0.939283988293288,0,57.4226264953613,57.4,NA,0,5.719,0.232,0.207317073,1,1,0.3552,2,1,54.1870765686035,1,72469,1,12680,9.44778122799122,3180,8.06495089174914,9500,9.15915233520675,0,0,1155,7.05272104923232,1975,7.58882987830781,1,12680,9.44778122799122,11.1909141631948
"23",23,123597,2008,"AK2008","cand4088","AK3183","CISSNA, SHARON M",100,"AK","state:lower","AK-22",-0.939283988293288,0,60.8247413635254,60.8,NA,0,5.723,0.232,0.256097561,1,1,0.3789,2,1,100,1,12680,1,10230,9.23307985894567,2980,8.00001409367807,7250,8.88889466937159,0,0,1655,7.4121603349452,1325,7.18992217074581,1,10230,9.23307985894567,9.44778122799122
"24",24,45500,1992,"AK1992","cand4004","AK17428","MULDER, ELDON P",200,"AK","state:lower","AK-23",0.0626193912318815,1,36.5241012573242,36.5,NA,1,2.946,0.232,0.24,0,1,0.3029,2,1,100,0,47005,0,94578,11.4571801698546,19173,9.86131047363694,73283,11.2020975830111,0,0,12298,9.41727323724241,2250,7.71912984090673,1,94578,11.4571801698546,10.7580092580127
"25",25,49267,1996,"AK1996","cand4004","AK17428","MULDER, ELDON P",200,"AK","state:lower","AK-23",0.0626193912318815,1,42.8296432495117,42.8,NA,1,3.117,0.232,0.257731959,0,1,0.3327,2,1,0,0,94578,0,52597,10.8704143628788,33245,10.4116897380954,12907,9.46560255317185,1491,7.30787278076371,27345,10.216325544869,5150,8.54694614956558,0.567138590267519,92741,11.437565940721,11.4571801698546
"26",26,55310,1998,"AK1998","cand4004","AK17428","MULDER, ELDON",200,"AK","state:lower","AK-23",0.0626193912318815,1,39.1387176513672,39.1,NA,1,2.624,0.232,0.328947368,0,1,0.3327,2,1,42.8296432495117,1,173438,0,88460,11.3903057514223,65505,11.0898970204815,16350,9.70204433653459,0,0,50860,10.8368517005996,14645.15,9.59193278127279,0.720422839179405,122789,11.7182227141357,12.0635754658016
"27",27,102511,2006,"AK2006","cand4105","AK4146","GARDNER, BERTA",100,"AK","state:lower","AK-24",-1.05866898269957,0,60.0369071960449,60,NA,0,4.877,0.232,0.194805195,1,1,0.3552,2,1,52.216178894043,1,127008,1,55354,10.921504202915,31646,10.3623986363499,23050,10.0454644314317,154,5.04342511691925,16628.52,9.71893470827072,14892.25,9.6086633691547,0.747441194739258,74058,11.212603848972,11.7520053555828
"28",28,123601,2008,"AK2008","cand4105","AK4146","GARDNER, BERTA",100,"AK","state:lower","AK-24",-1.05866898269957,0,60.9279594421387,60.9,NA,0,6.552,0.232,0.256097561,1,1,0.3789,2,1,60.0369071960449,1,236211,1,27140,10.2087639333889,12685,9.44825430219384,13805,9.53285855926342,0,0,8370,9.03252863066006,4460,8.40312823512826,1,27140,10.2087639333889,12.3724807523638
"29",29,123600,2008,"AK2008","cand4145","AK8802","DOOGAN, MIKE",100,"AK","state:lower","AK-25",-0.885514066078313,1,29.4734891991903,29.5,NA,0,5.432,0.232,0.256097561,1,1,0.3789,2,1,70.5075759887695,0,80598,0,42225,10.650767741676,23975,10.0848086089965,18000,9.7981825908907,250,5.52545293913178,16684.99,9.72232472415703,7290,8.89439598980643,1,42225,10.650767741676,11.2972291142911
"30",30,55299,1998,"AK1998","cand4069","AK2255","KOHRING, VIC",200,"AK","state:lower","AK-26",0.4537058314388,1,35.6849111818279,35.7,NA,1,6.322,0.232,0.328947368,0,1,0.3327,2,1,27.5079822540283,0,128123,0,11808,9.37653254684025,8439,9.04073758759,1500,7.31388683163346,0,0,7521.31,8.92562855062457,1050,6.95749737087695,1,11808,9.37653254684025,11.7607460189969
"31",31,102573,2006,"AK2006","cand4146","AK8803","HOLMES, LINDSEY S",100,"AK","state:lower","AK-26",-0.782714669772677,0,61.5600204467773,61.6,NA,0,6.423,0.232,0.194805195,1,1,0.3552,2,1,60.6544723510742,0,85058,0,30810,10.3355945915907,15375,9.64056313121007,15000,9.61587214452889,385,5.95583736946483,10350,9.24483841238375,4925,8.50228257868048,1,30810,10.3355945915907,11.3510886557167
"32",32,55313,1998,"AK1998","cand4009","AK17723","OGAN, SCOTT",200,"AK","state:lower","AK-27",0.411093820320917,1,40.5872667287904,40.6,NA,1,7.697,0.232,0.328947368,0,1,0.3327,3,1,0,0,83804,0,27664,10.2278872079231,14499,9.58190392840867,3225,8.07899825868515,4500,8.41205487329293,12548.5,9.43743610312882,2200,7.69666708152646,0.425999784413065,64939,11.0812036467086,11.3362360180279
