StartDate,EndDate,Finished,Status,mil_dummy,dem_dummy,trade_dummy,threat_dummy,threat_text,trade_text,dem_text,mil_text,Q1,Q2,Q18_1,Q18_2,Q18_4,Q18_3,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,favor_attack,follow_gov,dem_place,rep_place,pid_a,pid_d_strong,pid_r_strong,pid_lean,female,race,employed,educ
6/9/16 21:17,6/9/16 21:19,1,0,0,0,1,1,The country has stated that it is seeking nuclear weapons to aid in a conflict with another country in the region,has,is not a democracy and shows no sign of becoming a democracy,does not have,1,21,,,,,,,,1,,1,,,,,,,,,4,3,2,6,1,1,,,1,2,5,3
6/9/16 21:17,6/9/16 21:19,1,0,0,0,1,1,The country has stated that it is seeking nuclear weapons to aid in a conflict with another country in the region,has,is not a democracy and shows no sign of becoming a democracy,does not have,1,24,,,,,,,,1,,1,,,,,,,,,4,3,3,7,1,2,,,2,1,5,5
6/9/16 21:17,6/9/16 21:19,1,0,0,1,1,0,"The country劌製 motives remain unclear, but if it builds nuclear weapons, it will have the power to blackmail or destroy other countries",has,is a democracy and shows every sign that it will remain a democracy,does not have,1,31,,,,,,,,1,,1,,,,,,,,,1,2,2,7,2,,2,,2,1,1,2
6/9/16 21:17,6/9/16 21:19,1,0,1,1,1,0,"The country劌製 motives remain unclear, but if it builds nuclear weapons, it will have the power to blackmail or destroy other countries",has,is a democracy and shows every sign that it will remain a democracy,has,1,21,,,,,,,,1,,1,,,,,,,,,3,3,2,7,2,,2,,1,1,2,2
6/9/16 21:18,6/9/16 21:19,1,0,0,1,0,1,The country has stated that it is seeking nuclear weapons to aid in a conflict with another country in the region,does not have,is a democracy and shows every sign that it will remain a democracy,does not have,1,24,,,,,,,,1,,1,,,,,,,,,3,2,4,5,1,2,,,1,3,1,3
6/9/16 21:18,6/9/16 21:19,1,0,0,1,0,1,The country has stated that it is seeking nuclear weapons to aid in a conflict with another country in the region,does not have,is a democracy and shows every sign that it will remain a democracy,does not have,1,30,,,,,,,,1,,1,,,,,,,,,3,2,2,7,3,,,2,2,1,2,3
6/9/16 21:17,6/9/16 21:19,1,0,0,0,1,1,The country has stated that it is seeking nuclear weapons to aid in a conflict with another country in the region,has,is not a democracy and shows no sign of becoming a democracy,does not have,1,19,,,,,,,,1,,1,,,,,,,,,1,2,1,,1,1,,,1,4,5,3
6/9/16 21:17,6/9/16 21:19,1,0,0,0,0,0,"The country劌製 motives remain unclear, but if it builds nuclear weapons, it will have the power to blackmail or destroy other countries",does not have,is not a democracy and shows no sign of becoming a democracy,does not have,1,23,,,,,,,,1,,1,,,,,,,,,3,1,2,7,1,1,,,2,3,1,5
6/9/16 21:17,6/9/16 21:19,1,0,0,1,0,0,"The country劌製 motives remain unclear, but if it builds nuclear weapons, it will have the power to blackmail or destroy other countries",does not have,is a democracy and shows every sign that it will remain a democracy,does not have,1,27,,,,,,,,1,,1,,,,,,,,,2,2,,,3,,,1,2,1,1,3
6/9/16 21:17,6/9/16 21:19,1,0,1,0,0,0,"The country劌製 motives remain unclear, but if it builds nuclear weapons, it will have the power to blackmail or destroy other countries",does not have,is not a democracy and shows no sign of becoming a democracy,has,1,29,,,,,,,,1,,1,,,,,,,,,4,2,1,7,3,,,3,1,1,9,5
